Class Name,YAML Files,Existing Count,Total Count,Status
"ApexAdvancedFeaturesDemo","evaluation/advanced-features/advanced-features-test-data.yaml; evaluation/advanced-features/collection-operations-config.yaml; evaluation/advanced-features/dynamic-lookup-config.yaml; evaluation/advanced-features/rule-engine-config.yaml; evaluation/advanced-features/rule-result-features-config.yaml; evaluation/advanced-features/template-processing-config.yaml; evaluation/apex-advanced-features-demo.yaml",7,7,"Complete"
"ApexRulesEngineDemo","evaluation/apex-rules-engine-demo-config.yaml",1,1,"Complete"
"BasicUsageExamples","validation/basic-usage-examples-config.yaml",1,1,"Complete"
"BatchProcessingDemo","transformation/batch-processing-demo-config.yaml",1,1,"Complete"
"CommoditySwapValidationBootstrap","validation/commodity-bootstrap/commodity-data-config.yaml; validation/commodity-bootstrap/enrichment-patterns-config.yaml; validation/commodity-bootstrap/validation-rules-config.yaml; validation/commodity-swap-validation-bootstrap-demo.yaml",4,4,"Complete"
"ComplianceServiceDemo","evaluation/compliance-service-demo.yaml; evaluation/compliance/compliance-rules.yaml; evaluation/compliance/compliance-test-data.yaml; evaluation/compliance/regulatory-requirements.yaml; evaluation/compliance/reporting-deadlines.yaml",5,5,"Complete"
"ComprehensiveFinancialSettlementDemo","comprehensive-financial-settlement-demo-config.yaml",0,1,"Missing 1"
"CustodyAutoRepairBootstrap","enrichment/custody-auto-repair-bootstrap-demo.yaml; enrichment/custody-bootstrap/auto-repair-rules-config.yaml; enrichment/custody-bootstrap/settlement-scenarios-config.yaml; enrichment/custody-bootstrap/standing-instructions-config.yaml",4,4,"Complete"
"CustodyAutoRepairDemo","custody-auto-repair-demo-config.yaml",0,1,"Missing 1"
"CustomerTransformerDemo","enrichment/customer-transformer-demo.yaml; enrichment/customer-transformer/customer-segments-config.yaml; enrichment/customer-transformer/field-actions-config.yaml; enrichment/customer-transformer/transformer-rules-config.yaml",4,4,"Complete"
"DataManagementDemo","enrichment/data-management-demo-config.yaml",1,1,"Complete"
"DemoDataBootstrap","infrastructure/bootstrap/datasets/customer-profiles.yaml; infrastructure/bootstrap/datasets/product-catalog.yaml; infrastructure/bootstrap/datasets/trading-scenarios.yaml; infrastructure/bootstrap/demo-data-bootstrap.yaml",4,4,"Complete"
"DemoDataProvider","infrastructure/datasets/customer-profiles.yaml; infrastructure/datasets/financial-trading-scenarios.yaml; infrastructure/datasets/performance-customer-profiles.yaml; infrastructure/datasets/product-catalog.yaml; infrastructure/datasets/trading-scenarios.yaml; infrastructure/datasets/validation-customer-profiles.yaml; infrastructure/demo-data-provider.yaml",0,7,"Missing 7"
"DynamicMethodExecutionDemo","evaluation/dynamic-execution/compliance-service-config.yaml; evaluation/dynamic-execution/dynamic-rules-config.yaml; evaluation/dynamic-execution/dynamic-test-data.yaml; evaluation/dynamic-execution/pricing-service-config.yaml; evaluation/dynamic-execution/risk-management-config.yaml; evaluation/dynamic-execution/settlement-processing-config.yaml; evaluation/dynamic-method-execution-demo.yaml",7,7,"Complete"
"ExternalDataSourceDemo","enrichment/external-data-source-demo-config.yaml",1,1,"Complete"
"ExternalDataSourceReferenceDemo","lookup/customer-profile-enrichment.yaml; lookup/settlement-instruction-enrichment.yaml",2,2,"Complete"
